Breakfast Dishes
100% Plant-based Tofu Hash
Baked Ham
Bruceteria's Biscuit Bake
Cheesy Grits
Chorizo Breakfast Tacos
Clark Bakery Biscuits
Clark Bakery Pastries
Crispy Bacon
Fluffy Pancakes
Fried Potatoes
Hard Boiled Eggs
Maple Syrup
Scrambled Eggs
Sizzling Sausage Links
