Dinner Dishes
Aji Verde Chicken
Curried Potatoes
Roasted Brussels Sprouts
Soft Rolls
Soft Rolls
Spanish Rice
Stewed Black Beans
Chocolate Ice Cream
Mint Chocolate Chip Ice Cream
Strawberry Ice Cream
Vanilla Ice Cream
Bruce Mac
Bruce Pasta
Cheese Pizza on Clark Bakery Crust
Chicken Parm Pasta
Creamy Alfredo Sauce
Ham & Cheddar Pasta
Marinara Sauce
Pepperoni Pizza on Clark Bakery Crust
Veggie Pizza on Clark Bakery Crust
Assorted Bars
Assorted Cakes
Assorted Cobblers
